start_pos,n_gram_size,word,vicinity,neighbour,context,level,source_file
145126,5,спина,тцобо_СПИНА_нрбтг,обо,"себя преступного и непослушного, а не рубила ",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
149349,5,сутки,илодк_СУТКИ_бексб,бек,"сама устраняется, так как и без ее кар",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
284443,5,спину,ттвтв_СПИНУ_ономб,оно,"слово, -- покончу, и не услышит он ничего ",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
415664,5,висел,вгпмт_ВИСЕЛ_лобмр,лоб,"вот и спросите его, любит ли он банн",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
607300,5,осени,иббок_ОСЕНИ_пчнвб,бок,"они станут еще несчастнее, ибо природа че",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
660565,5,житие,нжену_ЖИТИЕ_бктдп,жену,живет и теперь и его бьет кажды,word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
939281,5,вином,зочто_ВИНОМ_буске,что,встал и наскоро оделся. Может быть угрыз,word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
1140896,5,приди,бссне_ПРИДИ_нтчпа,сне,"просили раздеться и далее. И не то, что",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
1547523,5,песни,бсвес_ПЕСНИ_кчсни,вес,"Петербурга, еще с начала их карьеры, ч",word,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
1466993,5,плоти,хочсв_ПЛОТИ_онино,они," -- пролепетал дивясь Смердяков. -- Лимонаду не хотите ли, сейчас прикажу-с. Очень освежить может. Только вот это бы прежде накрыть-с.
   И он опять кивнул на пачки. Он двинул",sentence,rus_fiction_dostoevsky_bratia-karamazovy_1881_roman.txt
